,eruption_time_epoch,duration_seconds,time_to_next_eruption,datetime,time_since_last_eruption,Orig. Weather Idx,Temp,RH,Wind Speed,Wind Direction,Peak Wind Gust,Atm Press,Precip,Daily Precip Cumsum,Daily Wind Speed Cumsum
0,1397795823,,9660.0,2014-04-18 04:37:03+00:00,9240.0,3,33.0,95.0,0.0,M,m,757.2,0.03,0.03,6.0
1,1397805483,,9480.0,2014-04-18 07:18:03+00:00,9660.0,6,32.0,100.0,0.0,M,m,756.7,0.13,0.28,6.0
2,1397855463,,9060.0,2014-04-18 21:11:03+00:00,10260.0,20,31.0,68.0,0.0,M,m,760.2,0.0,0.7500000000000001,88.0
3,1397864523,,10200.0,2014-04-18 23:42:03+00:00,9060.0,22,27.0,88.0,0.0,M,m,760.4,0.0,0.7500000000000001,88.0
4,1397874723,,9960.0,2014-04-19 02:32:03+00:00,10200.0,25,22.0,88.0,0.0,M,m,760.4,0.0,0.0,3.0
5,1397884683,,10140.0,2014-04-19 05:18:03+00:00,9960.0,28,18.0,88.0,0.0,M,m,760.7,0.0,0.0,3.0
6,1397894823,,9840.0,2014-04-19 08:07:03+00:00,10140.0,31,28.0,62.0,0.0,M,m,761.8,0.0,0.0,6.0
7,1397904663,,9477.0,2014-04-19 10:51:03+00:00,9840.0,33,41.0,28.0,3.0,M,m,761.5,0.0,0.0,12.0
8,1397970843,,9540.0,2014-04-20 05:14:03+00:00,9480.0,52,24.0,87.0,0.0,M,m,762.0,0.0,0.0,6.0
9,1397980383,,9840.0,2014-04-20 07:53:03+00:00,9540.0,54,35.0,66.0,3.0,M,m,763.1,0.0,0.0,12.0
10,1398050043,,9120.0,2014-04-21 03:14:03+00:00,9600.0,74,22.0,84.0,0.0,M,m,768.2,0.0,0.0,0.0
11,1398059163,,9780.0,2014-04-21 05:46:03+00:00,9120.0,76,20.0,88.0,0.0,M,m,768.2,0.0,0.0,0.0
12,1398068943,,9720.0,2014-04-21 08:29:03+00:00,9780.0,79,31.0,63.0,3.0,110,m,768.2,0.0,0.0,3.0
13,1398078663,,9840.0,2014-04-21 11:11:03+00:00,9720.0,82,40.0,39.0,3.0,M,m,767.4,0.0,0.0,11.0
14,1398143643,,9480.0,2014-04-22 05:14:03+00:00,8880.0,100,32.0,100.0,0.0,M,m,760.2,0.07,0.21,5.0
15,1398223623,,8640.0,2014-04-23 03:27:03+00:00,8520.0,122,27.0,81.0,9.0,260,18,750.3,0.0,0.0,22.0
16,1398232263,,9000.0,2014-04-23 05:51:03+00:00,8640.0,124,25.0,87.0,6.0,M,m,750.5,0.0,0.0,36.0
17,1398241263,,10140.0,2014-04-23 08:21:03+00:00,9000.0,127,24.0,77.0,10.0,270,23,753.7,0.01,0.04,57.0
18,1398251403,,9600.0,2014-04-23 11:10:03+00:00,10140.0,130,29.0,55.0,13.0,270,20,754.5,0.0,0.04,88.0
19,1398261003,,9357.0,2014-04-23 13:50:03+00:00,9600.0,132,34.0,34.0,9.0,260,22,755.3,0.0,0.04,111.0
20,1398315543,,10440.0,2014-04-24 04:59:03+00:00,9600.0,148,27.0,71.0,6.0,M,m,758.8,0.0,0.0,31.0
21,1398325983,,10500.0,2014-04-24 07:53:03+00:00,10440.0,150,28.0,68.0,0.0,M,m,759.4,0.0,0.0,31.0
22,1398336483,,9897.0,2014-04-24 10:48:03+00:00,10500.0,153,34.0,63.0,5.0,M,m,758.6,0.0,0.0,43.0
23,1398401943,,9660.0,2014-04-25 04:59:03+00:00,10620.0,171,30.0,92.0,0.0,M,m,756.4,0.0,0.0,0.0
24,1398411603,,9600.0,2014-04-25 07:40:03+00:00,9660.0,173,31.0,92.0,0.0,M,m,756.4,0.0,0.0,0.0
25,1398421203,,9777.0,2014-04-25 10:20:03+00:00,9600.0,176,36.0,78.0,3.0,100,m,755.3,0.0,0.0,3.0
26,1398465663,,8580.0,2014-04-25 22:41:03+00:00,8160.0,188,32.0,95.0,0.0,M,m,750.5,0.03,0.22,17.0
27,1398474243,,10440.0,2014-04-26 01:04:03+00:00,8580.0,191,32.0,95.0,0.0,M,m,748.9,0.04,0.04,0.0
28,1398484683,,9600.0,2014-04-26 03:58:03+00:00,10440.0,194,33.0,91.0,3.0,M,m,748.7,0.0,0.07,3.0
29,1398494283,,9360.0,2014-04-26 06:38:03+00:00,9600.0,196,31.0,96.0,0.0,M,m,748.7,0.0,0.1,6.0
30,1398503643,,8877.0,2014-04-26 09:14:03+00:00,9360.0,199,34.0,88.0,3.0,110,m,747.9,0.0,0.1,9.0
31,1398557163,,9120.0,2014-04-27 00:06:03+00:00,9360.0,214,29.0,88.0,5.0,M,m,748.4,0.02,0.53,60.0
32,1398566283,,9120.0,2014-04-27 02:38:03+00:00,9120.0,216,28.0,88.0,5.0,290,m,749.2,0.01,0.02,5.0
33,1398575403,,8880.0,2014-04-27 05:10:03+00:00,9120.0,219,27.0,92.0,0.0,M,m,750.0,0.0,0.03,8.0
34,1398584283,,9180.0,2014-04-27 07:38:03+00:00,8880.0,221,27.0,92.0,0.0,M,m,751.1,0.02,0.05,8.0
35,1398593463,,8700.0,2014-04-27 10:11:03+00:00,9180.0,224,30.0,71.0,8.0,270,17,751.9,0.0,0.05,25.0
36,1398602163,,8637.0,2014-04-27 12:36:03+00:00,8700.0,226,32.0,63.0,7.0,M,m,752.1,0.0,0.05,41.0
37,1398654303,,9720.0,2014-04-28 03:05:03+00:00,8880.0,240,20.0,84.0,3.0,280,m,754.8,0.0,0.0,3.0
38,1398664023,,9360.0,2014-04-28 05:47:03+00:00,9720.0,241,20.0,84.0,7.0,M,m,755.6,0.01,0.01,10.0
39,1398673383,,9600.0,2014-04-28 08:23:03+00:00,9360.0,243,22.0,74.0,5.0,M,m,757.5,0.0,0.01,18.0
40,1398682983,,9597.0,2014-04-28 11:03:03+00:00,9600.0,246,29.0,55.0,9.0,300,17,758.8,0.0,0.01,47.0
41,1398916864,,10500.0,2014-05-01 04:01:04+00:00,10620.0,306,20.0,84.0,0.0,M,m,770.1,0.0,0.0,0.0
42,1398927364,,10080.0,2014-05-01 06:56:04+00:00,10500.0,308,23.0,77.0,0.0,M,m,770.1,0.0,0.0,0.0
43,1400258884,,8936.0,2014-05-16 16:48:04+00:00,8520.0,665,53.0,34.0,5.0,M,m,763.4,0.0,0.0,28.0
44,1400286604,,10140.0,2014-05-17 00:30:04+00:00,9600.0,673,35.0,95.0,0.0,M,m,763.4,0.02,0.03,34.0
45,1400296744,,9240.0,2014-05-17 03:19:04+00:00,10140.0,676,33.0,100.0,0.0,M,m,763.1,0.01,0.01,0.0
46,1400305984,,9540.0,2014-05-17 05:53:04+00:00,9240.0,678,34.0,96.0,0.0,M,m,762.6,0.0,0.01,0.0
47,1400315524,,9240.0,2014-05-17 08:32:04+00:00,9540.0,681,39.0,88.0,0.0,M,m,762.8,0.0,0.01,0.0
48,1400324764,,9176.0,2014-05-17 11:06:04+00:00,9240.0,684,43.0,76.0,3.0,M,m,762.3,0.0,0.01,9.0
49,1400361184,,8640.0,2014-05-17 21:13:04+00:00,9000.0,694,35.0,78.0,0.0,M,m,759.1,0.0,0.01,34.0
50,1400369824,,8760.0,2014-05-17 23:37:04+00:00,8640.0,696,31.0,88.0,0.0,M,m,758.8,0.0,0.01,37.0
51,1400378584,,8820.0,2014-05-18 02:03:04+00:00,8760.0,699,31.0,88.0,3.0,340,m,757.7,0.0,0.0,6.0
52,1400387404,,9480.0,2014-05-18 04:30:04+00:00,8820.0,701,29.0,96.0,5.0,320,m,757.2,0.0,0.0,14.0
53,1400396884,,9240.0,2014-05-18 07:08:04+00:00,9480.0,704,40.0,79.0,0.0,M,m,755.9,0.0,0.0,14.0
54,1400406124,,9180.0,2014-05-18 09:42:04+00:00,9240.0,706,47.0,51.0,3.0,70,m,754.8,0.0,0.0,17.0
55,1400415304,,8876.0,2014-05-18 12:15:04+00:00,9180.0,709,54.0,33.0,11.0,270,21,754.5,0.0,0.0,34.0
56,1401491104,,8696.0,2014-05-30 23:05:04+00:00,8100.0,1008,38.0,75.0,3.0,300,m,764.7,0.0,0.0,47.0
57,1403079364,,10676.0,2014-06-18 08:16:04+00:00,10140.0,1447,31.0,92.0,5.0,M,m,760.7,0.01,0.06,11.0
58,1403151964,,10496.0,2014-06-19 04:26:04+00:00,10140.0,1467,35.0,88.0,3.0,M,m,763.9,0.0,0.0,6.0
