,datetime,time_to_next_eruption,time_since_last_eruption,Wind Speed,RH,Temp,Wind Cumsum
144,1992-01-06 17:51:00+00:00,6120.0,4200.0,0.0,67.0,20.0,0.0
145,1992-01-06 19:33:00+00:00,2640.0,6120.0,1.0,67.0,18.0,1.0
146,1992-01-06 20:17:00+00:00,11220.0,2640.0,2.0,64.0,23.0,29.0
147,1992-01-07 18:48:00+00:00,6360.0,6240.0,2.0,67.0,22.0,5.0
148,1992-01-07 20:34:00+00:00,12300.0,6360.0,0.0,69.0,10.0,42.0
149,1992-01-08 20:07:00+00:00,6720.0,6660.0,0.0,75.0,6.0,12.0
150,1992-01-09 20:43:00+00:00,6840.0,6720.0,0.0,75.0,6.0,1.0
151,1992-01-09 22:37:00+00:00,6480.0,6840.0,0.0,74.0,-1.0,17.0
152,1992-01-12 20:40:00+00:00,5940.0,6600.0,5.0,68.0,4.0,43.0
153,1992-01-14 19:22:00+00:00,6480.0,6840.0,0.0,67.0,-3.0,3.0
154,1992-01-14 21:10:00+00:00,6600.0,6480.0,2.0,72.0,9.0,97.0
155,1992-01-16 21:42:00+00:00,6480.0,6720.0,0.0,55.0,-4.0,5.0
156,1992-01-18 22:18:00+00:00,6420.0,6480.0,0.0,68.0,4.0,6.0
157,1992-01-19 20:13:00+00:00,6240.0,6360.0,6.0,63.0,14.0,24.0
158,1992-01-21 18:36:00+00:00,6360.0,6420.0,0.0,69.0,9.0,5.0
159,1992-01-21 20:22:00+00:00,5700.0,6360.0,6.0,76.0,12.0,6.0
160,1992-01-21 21:57:00+00:00,6300.0,5700.0,3.0,52.0,22.0,383.0
161,1992-01-26 18:44:00+00:00,6420.0,5640.0,0.0,60.0,11.0,0.0
162,1992-01-26 20:31:00+00:00,5220.0,6420.0,2.0,68.0,8.0,3.0
163,1992-01-26 23:14:00+00:00,4500.0,3600.0,3.0,57.0,26.0,22.0
164,1992-01-27 17:43:00+00:00,6420.0,6360.0,3.0,56.0,24.0,5.0
165,1992-01-27 19:30:00+00:00,6540.0,6420.0,2.0,64.0,19.0,2.0
166,1992-01-27 21:19:00+00:00,6600.0,6540.0,2.0,68.0,28.0,43.0
167,1992-01-28 18:35:00+00:00,6600.0,6420.0,0.0,74.0,27.0,5.0
168,1992-01-28 20:25:00+00:00,6480.0,6600.0,1.0,67.0,20.0,67.0
169,1992-01-29 19:49:00+00:00,6180.0,6480.0,1.0,73.0,17.0,3.0
170,1992-01-29 21:32:00+00:00,6600.0,6180.0,2.0,58.0,15.0,31.0
