,Unnamed: 0,datetime,duration,height,interpolated_height,time_to_next_eruption,time_since_last_eruption,Gage Height,Discharge,Water Temp,Temp,RH,Wind Speed,Atm Press,Precip,Wind Chill
0,0,2014-04-18 09:32:00+00:00,248,150.0,0.0,5280.0,5880.0,2.63,65.7,6.3,34.0,96.0,0.0,756.1,0.14,NC
1,1,2014-04-18 11:00:00+00:00,245,135.0,0.0,5580.0,5280.0,2.68,72.5,6.1,35.0,88.0,7.0,756.7,0.04,29
2,2,2014-04-18 12:33:00+00:00,240,140.0,0.0,6540.0,5580.0,2.67,71.1,7.4,36.0,89.0,6.0,757.2,0.01,31
3,3,2014-04-18 14:22:00+00:00,250,150.0,0.0,5940.0,6540.0,2.65,68.3,8.1,37.0,72.0,7.0,757.5,0.00,32
4,4,2014-04-18 16:01:00+00:00,237,145.0,0.0,5700.0,5940.0,2.65,68.3,8.0,37.0,66.0,7.0,756.9,0.00,32
5,5,2014-04-19 10:46:00+00:00,149,155.0,0.0,3180.0,5940.0,2.5,50.0,8.8,41.0,28.0,3.0,761.5,0.00,NC
6,6,2014-04-19 11:39:00+00:00,272,140.0,0.0,6420.0,3180.0,2.5,50.0,9.8,44.0,23.0,6.0,761.8,0.00,41
7,7,2014-04-19 13:26:00+00:00,234,140.0,0.0,5580.0,6420.0,2.5,50.0,11.6,46.0,22.0,7.0,761.8,0.00,42
8000,8000,2014-04-19 14:59:00+00:00,242,150.0,0.0,5640.0,5580.0,2.5,50.0,11.6,46.0,22.0,7.0,761.8,0.00,42
8,8,2014-04-19 16:33:00+00:00,126,150.0,0.0,3660.0,5640.0,2.54,54.5,11.3,47.0,22.0,6.0,761.5,0.00,M
9,9,2014-04-20 11:19:00+00:00,218,160.0,0.0,5340.0,5640.0,2.49,48.9,10.4,45.0,36.0,11.0,765.0,0.00,39
10,10,2014-04-20 12:48:00+00:00,239,145.0,0.0,5700.0,5340.0,2.51,51.1,12.0,46.0,33.0,15.0,765.2,0.00,40
11,11,2014-04-20 14:23:00+00:00,246,135.0,0.0,5580.0,5700.0,2.52,52.2,12.4,48.0,28.0,6.0,765.5,0.00,45
