,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,datetime,duration,height,interpolated_height,time_to_next_eruption,time_since_last_eruption,Orig. Weather Idx,Unnamed: 0.1.1.1,Temp,RH,Wind Speed,Wind Direction,Peak Wind Gust,Atm Press,Precip,Daily Precip Cumsum,Daily Wind Speed Cumsum
0,0,0,0,2014-04-18 09:32:00+00:00,248,150.0,0.0,5280.0,5880.0,8,8,34.0,96.0,0.0,M,m,756.1,0.14,0.67,6.0
1,1,1,1,2014-04-18 11:00:00+00:00,245,135.0,0.0,5580.0,5280.0,10,10,35.0,88.0,7.0,M,m,756.7,0.04,0.7400000000000001,13.0
2,2,2,2,2014-04-18 12:33:00+00:00,240,140.0,0.0,6540.0,5580.0,11,11,36.0,89.0,6.0,M,m,757.2,0.01,0.7500000000000001,19.0
3,3,3,3,2014-04-18 14:22:00+00:00,250,150.0,0.0,5940.0,6540.0,13,13,37.0,72.0,7.0,M,21,757.5,0.0,0.7500000000000001,36.0
4,4,4,4,2014-04-18 16:01:00+00:00,237,145.0,0.0,5700.0,5940.0,15,15,37.0,66.0,7.0,M,18,756.9,0.0,0.7500000000000001,57.0
5,5,5,5,2014-04-19 10:46:00+00:00,149,155.0,0.0,3180.0,5940.0,33,33,41.0,28.0,3.0,M,m,761.5,0.0,0.0,12.0
6,6,6,6,2014-04-19 11:39:00+00:00,272,140.0,0.0,6420.0,3180.0,34,34,44.0,23.0,6.0,M,m,761.8,0.0,0.0,18.0
7,7,7,7,2014-04-19 13:26:00+00:00,234,140.0,0.0,5580.0,6420.0,36,36,46.0,22.0,7.0,M,m,761.8,0.0,0.0,31.0
8,8,8,8,2014-04-19 14:59:00+00:00,242,150.0,0.0,5640.0,5580.0,38,38,47.0,22.0,6.0,M,m,761.5,0.0,0.0,43.0
9,9,9,9,2014-04-19 16:33:00+00:00,126,150.0,0.0,3660.0,5640.0,39,39,47.0,22.0,6.0,M,m,761.5,0.0,0.0,49.0
10,10,10,10,2014-04-20 11:19:00+00:00,218,160.0,0.0,5340.0,5640.0,58,58,45.0,36.0,11.0,260,16,765.0,0.0,0.0,43.0
11,11,11,11,2014-04-20 12:48:00+00:00,239,145.0,0.0,5700.0,5340.0,59,59,46.0,33.0,15.0,280,23,765.2,0.0,0.0,58.0
12,12,12,12,2014-04-20 14:23:00+00:00,246,135.0,0.0,5580.0,5700.0,61,61,48.0,28.0,6.0,M,16,765.5,0.0,0.0,69.0
13,13,13,13,2014-04-20 15:56:00+00:00,239,155.0,0.0,5160.0,5580.0,63,63,47.0,26.0,7.0,M,18,765.5,0.0,0.0,89.0
14,14,14,14,2014-04-21 12:33:00+00:00,235,145.0,0.0,5520.0,5700.0,83,83,42.0,36.0,5.0,M,m,766.8,0.0,0.0,16.0
15,15,15,15,2014-04-21 14:05:00+00:00,235,135.0,0.0,6240.0,5520.0,85,85,46.0,33.0,3.0,M,m,765.8,0.0,0.0,24.0
16,16,16,16,2014-04-21 15:49:00+00:00,215,145.0,0.0,4800.0,6240.0,86,86,45.0,36.0,7.0,M,m,765.2,0.0,0.0,31.0
17,17,17,17,2014-04-22 10:20:00+00:00,264,160.0,0.0,5640.0,6120.0,105,105,42.0,75.0,0.0,M,m,756.4,0.0,0.29,8.0
18,18,18,18,2014-04-22 11:54:00+00:00,254,120.0,0.0,5880.0,5640.0,106,106,45.0,70.0,0.0,M,m,755.3,0.0,0.29,8.0
19,19,19,19,2014-04-22 13:32:00+00:00,246,130.0,0.0,5760.0,5880.0,108,108,48.0,51.0,5.0,M,m,752.9,0.0,0.29,19.0
20,20,20,20,2014-04-22 15:08:00+00:00,234,135.0,0.0,5400.0,5760.0,110,110,49.0,45.0,0.0,M,m,751.3,0.0,0.29,22.0
21,21,21,21,2014-04-23 11:15:00+00:00,132,130.0,0.0,4020.0,6000.0,130,130,29.0,55.0,13.0,270,20,754.5,0.0,0.04,88.0
22,22,22,22,2014-04-23 12:22:00+00:00,270,130.0,0.0,6180.0,4020.0,131,131,32.0,41.0,14.0,280,21,755.1,0.0,0.04,102.0
23,23,23,23,2014-04-23 14:05:00+00:00,110,125.0,0.0,4200.0,6180.0,133,133,32.0,41.0,9.0,280,m,756.4,0.0,0.04,120.0
24,24,24,24,2014-04-23 15:15:00+00:00,272,140.0,0.0,6540.0,4200.0,134,134,31.0,41.0,9.0,M,m,756.4,0.0,0.04,129.0
25,25,25,25,2014-04-24 11:39:00+00:00,234,155.0,0.0,4920.0,5460.0,153,153,34.0,63.0,5.0,M,m,758.6,0.0,0.0,43.0
26,26,26,26,2014-04-24 13:01:00+00:00,218,130.0,0.0,5760.0,4920.0,155,155,35.0,69.0,6.0,M,m,758.0,0.01,0.01,52.0
27,27,27,27,2014-04-24 14:37:00+00:00,237,137.0,1.0,6000.0,5760.0,156,156,35.0,75.0,7.0,M,m,758.0,0.0,0.01,59.0
28,28,28,28,2014-04-24 16:17:00+00:00,237,145.0,0.0,5880.0,6000.0,158,158,35.0,72.0,5.0,M,m,758.0,0.0,0.01,72.0
29,29,29,29,2014-04-25 10:40:00+00:00,255,130.0,0.0,5760.0,5520.0,176,176,36.0,78.0,3.0,100,m,755.3,0.0,0.0,3.0
30,30,30,30,2014-04-25 12:16:00+00:00,238,130.0,0.0,5880.0,5760.0,178,178,41.0,64.0,0.0,M,m,754.5,0.0,0.0,9.0
31,31,31,31,2014-04-25 13:54:00+00:00,250,160.0,0.0,6360.0,5880.0,179,179,40.0,67.0,5.0,M,m,754.3,0.0,0.0,14.0
32,32,32,32,2014-04-25 15:40:00+00:00,258,150.0,0.0,5340.0,6360.0,181,181,41.0,61.0,0.0,M,m,753.2,0.0,0.0,14.0
33,33,33,33,2014-04-26 11:33:00+00:00,254,137.0,1.0,5460.0,5280.0,201,201,36.0,85.0,0.0,M,m,747.3,0.0,0.1,9.0
34,34,34,34,2014-04-26 13:04:00+00:00,231,150.0,0.0,6180.0,5460.0,203,203,37.0,85.0,3.0,120,m,746.3,0.0,0.14,15.0
35,35,35,35,2014-04-26 14:47:00+00:00,241,150.0,0.0,5340.0,6180.0,204,204,38.0,78.0,5.0,120,m,746.0,0.0,0.14,20.0
36,36,36,36,2014-04-26 16:16:00+00:00,227,140.0,0.0,5220.0,5340.0,206,206,34.0,96.0,0.0,M,m,746.0,0.06,0.2,23.0
37,37,37,37,2014-04-27 11:09:00+00:00,264,140.0,0.0,5580.0,5580.0,225,225,32.0,65.0,9.0,280,m,751.9,0.0,0.05,34.0
38,38,38,38,2014-04-27 12:42:00+00:00,241,135.0,0.0,5760.0,5580.0,226,226,32.0,63.0,7.0,M,m,752.1,0.0,0.05,41.0
39,39,39,39,2014-04-27 14:18:00+00:00,232,135.0,0.0,5580.0,5760.0,228,228,34.0,58.0,8.0,270,22,752.4,0.0,0.05,59.0
40,40,40,40,2014-04-27 15:51:00+00:00,256,155.0,0.0,5280.0,5580.0,229,229,33.0,63.0,7.0,M,17,752.1,0.0,0.05,66.0
41,41,41,41,2014-04-28 10:40:00+00:00,245,120.0,0.0,5400.0,5760.0,245,245,25.0,65.0,9.0,300,21,758.6,0.0,0.01,38.0
42,42,42,42,2014-04-28 12:10:00+00:00,238,130.0,0.0,6060.0,5400.0,247,247,27.0,65.0,7.0,M,21,759.4,0.0,0.01,54.0
43,43,43,43,2014-04-28 13:51:00+00:00,254,140.0,0.0,5100.0,6060.0,248,248,28.0,65.0,9.0,300,m,759.9,0.01,0.02,63.0
44,44,44,44,2014-04-28 15:16:00+00:00,250,150.0,0.0,5400.0,5100.0,250,250,27.0,62.0,0.0,M,m,761.5,0.01,0.04,72.0
45,45,45,45,2014-04-29 11:13:00+00:00,254,150.0,0.0,5520.0,5520.0,268,268,31.0,53.0,5.0,M,17,771.7,0.0,0.0,24.0
46,46,46,46,2014-04-29 12:45:00+00:00,243,150.0,0.0,6000.0,5520.0,269,269,35.0,45.0,6.0,M,m,771.7,0.0,0.0,30.0
47,47,47,47,2014-04-29 14:25:00+00:00,216,140.0,0.0,5280.0,6000.0,271,271,34.0,47.0,9.0,320,18,771.9,0.0,0.0,42.0
48,48,48,48,2014-04-29 15:53:00+00:00,241,140.0,0.0,5520.0,5280.0,272,272,34.0,51.0,7.0,M,21,772.2,0.0,0.0,49.0
49,49,49,49,2014-04-30 15:29:00+00:00,104,150.0,0.0,3300.0,6180.0,294,294,44.0,24.0,6.0,M,20,771.4,0.0,0.0,46.0
50,50,50,50,2014-04-30 16:24:00+00:00,231,130.0,0.0,6240.0,3300.0,295,295,45.0,23.0,5.0,M,m,771.1,0.0,0.0,51.0
51,51,51,51,2014-05-01 12:02:00+00:00,248,130.0,0.0,6000.0,5160.0,313,313,43.0,41.0,5.0,M,m,768.7,0.0,0.0,14.0
52,52,52,52,2014-05-01 13:42:00+00:00,231,150.0,0.0,5520.0,6000.0,314,314,51.0,29.0,0.0,M,m,768.2,0.0,0.0,14.0
53,53,53,53,2014-05-01 15:14:00+00:00,253,135.0,0.0,5520.0,5520.0,316,316,54.0,25.0,3.0,M,m,767.4,0.0,0.0,24.0
54,54,54,54,2014-05-02 10:03:00+00:00,237,150.0,0.0,5820.0,5220.0,334,334,43.0,50.0,6.0,90,m,764.7,0.0,0.0,14.0
