,Unnamed: 0,Temp,RH,Wind Speed,Wind Direction,Peak Wind Gust,Atm Press,Precip,datetime,Daily Precip Cumsum,Daily Wind Speed Cumsum
0,0,26,84,0,M,m,757.50,0.00,2014-04-18 00:56:00+00:00,0.0,0.0
1,1,27,84,0,M,m,757.50,0.00,2014-04-18 01:56:00+00:00,0.0,0.0
2,2,34,85,6,M,m,757.50,0.00,2014-04-18 02:56:00+00:00,0.0,6.0
3,3,33,95,0,M,m,757.20,0.03,2014-04-18 03:56:00+00:00,0.03,6.0
4,4,32,100,0,M,m,756.40,0.07,2014-04-18 04:56:00+00:00,0.1,6.0
5,5,32,100,0,M,m,756.70,0.05,2014-04-18 05:56:00+00:00,0.15000000000000002,6.0
6,6,32,100,0,M,m,756.70,0.13,2014-04-18 06:56:00+00:00,0.28,6.0
7,7,32,100,0,M,m,756.40,0.25,2014-04-18 07:56:00+00:00,0.53,6.0
8,8,34,96,0,M,m,756.10,0.14,2014-04-18 08:56:00+00:00,0.67,6.0
9,9,34,92,0,M,m,756.40,0.03,2014-04-18 09:56:00+00:00,0.7000000000000001,6.0
10,10,35,88,7,M,m,756.70,0.04,2014-04-18 10:56:00+00:00,0.7400000000000001,13.0
11,11,36,89,6,M,m,757.20,0.01,2014-04-18 11:56:00+00:00,0.7500000000000001,19.0
12,12,36,78,10,270,32,757.50,0.00,2014-04-18 12:56:00+00:00,0.7500000000000001,29.0
13,13,37,72,7,M,21,757.50,0.00,2014-04-18 13:56:00+00:00,0.7500000000000001,36.0
14,14,39,61,14,270,22,757.50,0.00,2014-04-18 14:56:00+00:00,0.7500000000000001,50.0
15,15,37,66,7,M,18,756.90,0.00,2014-04-18 15:56:00+00:00,0.7500000000000001,57.0
16,16,38,67,8,250,m,756.90,0.00,2014-04-18 16:56:00+00:00,0.7500000000000001,65.0
17,17,38,59,9,250,22,756.90,0.00,2014-04-18 17:56:00+00:00,0.7500000000000001,74.0
18,18,36,58,9,260,m,758.00,0.00,2014-04-18 18:56:00+00:00,0.7500000000000001,83.0
19,19,34,60,5,M,m,758.80,0.00,2014-04-18 19:56:00+00:00,0.7500000000000001,88.0
20,20,31,68,0,M,m,760.20,0.00,2014-04-18 20:56:00+00:00,0.7500000000000001,88.0
21,21,28,84,0,M,m,760.20,0.00,2014-04-18 21:56:00+00:00,0.7500000000000001,88.0
22,22,27,88,0,M,m,760.40,0.00,2014-04-18 22:56:00+00:00,0.7500000000000001,88.0
23,23,26,84,3,340,m,760.40,0.00,2014-04-18 23:56:00+00:00,0.7500000000000001,91.0
24,24,25,80,3,290,m,760.70,0.00,2014-04-19 00:56:00+00:00,0.0,3.0
25,25,22,88,0,M,m,760.40,0.00,2014-04-19 01:56:00+00:00,0.0,3.0
26,26,20,88,0,M,m,760.70,0.00,2014-04-19 02:56:00+00:00,0.0,3.0
